# Created by Octave 6.2.0, Sat Jun 19 11:36:02 2021 GMT <unknown@New-Sunny-Laptop>
# name: x
# type: matrix
# rows: 47
# columns: 2
 1 2104
 1 1600
 1 2400
 1 1416
 1 3000
 1 1985
 1 1534
 1 1427
 1 1380
 1 1494
 1 1940
 1 2000
 1 1890
 1 4478
 1 1268
 1 2300
 1 1320
 1 1236
 1 2609
 1 3031
 1 1767
 1 1888
 1 1604
 1 1962
 1 3890
 1 1100
 1 1458
 1 2526
 1 2200
 1 2637
 1 1839
 1 1000
 1 2040
 1 3137
 1 1811
 1 1437
 1 1239
 1 2132
 1 4215
 1 2162
 1 1664
 1 2238
 1 2567
 1 1200
 1 852
 1 1852
 1 1203


